,Users,Comments
3092,RoxyONeill,@nicecreams yeah collision with a sloped ceiling  I always take the BB Rescue Balm even if its just for a day. Wonderful stuff. DH agrees.
3093,AmyRNickerson,The kids have gone  I am SO SAD.   I think I need shopping therapy followed by Spa treatments this afternoon to cheer myself up.
3094,ThirdWorldGirl,I'm soooo fkn pissed right now. My sister has once again proven to be unreliable. 
3095,lashelldlawson,@talasar Morning sweetie! Its hot as heck here 
3096,natieannexo,@lyricalxlies i only just heard about it  wish i could i still want to go to paramore!
3097,menzieto,I can't wait to have a clean apt free of lil buggies where I can cook. I love to cook!!  I just hate cooking for 1.  Dinner parties soon!
3098,lindsaymetter,"@chrisburdick you make me smile sooo much!  and yeah, unfortunately i was up @ 4am!  couldn't sleep "
3099,gel122190,&quot;Will our current feelings fade away someday?&quot;- How sad... 
3100,blonde_terror,@eatair My husband and I truly loathe buying bread because it is always a HUGE letdown   I will have to check out Nature's own.
3101,jonnym243,revision sucks  must go back to it tho...
3102,ChrissyMBot,@snackmantis please don't 
3103,SarahCyrus,fuck! bought ballerinas in size &quot;36&quot; cuz thats the smallest and now they slip 
3104,KnoxCat11,Wishes he was at the pool with Emmy.....ah well.  Time to go get a tan.
3105,angelic22,Not a happy bunny after my dad has started smoking again . The house now stinks 
3106,webwoke,holys**t drop by 1  85. businessweek.com
3107,webwoke,F**K! drop by 1  86. opera.com
3108,BeUrLover2,OMG I really don't want to move more today! 
3109,4815162342UK,"@theknitewhosays Skindred are playing, you fool! And 65DaysofStatic. And its on a beach. Did you survive the op? Haha, I was wasted too  x"
3110,lucashardbarger,Don't forget to stop and think about d-day today. What a scary day that must have been on that beach for all of those kids. 
3111,lauraEchilds,@iFallMute  i bought some shorts.. now i feel silly!
3112,Louiise_t,@Lannaa  im sorrry!    We all need to go out soon btw! I'm thinking tbs? I'll most deffinately have money by then 
3113,jennypoynter,"this just SUCKS, i wanna see miley liiiiiiiiiive  but canttt!"
3114,ccd002,En route to Yankee stadium..meeting the rest of the crew there. Sorry I'm running late gang! 
3115,simonschuler,I have to write a report for school.  That sucks!
3116,chela420,My gerbils escaped and went into the wall. 
3117,Terrinixon,@dbridger Oh that's horrible  Particularly with all the other crap you've got going on. Despicable behaviour.
3118,aleeeeeee,I had a dream that i yanked off my silver bracelet and broke it. I guess it was reality? 
3119,jessmoffattowen,"@indii093 Good job someone is tweeting! And about the job situation, I KNOW there's NOTHING anywhere "
3120,laurapasik,"@davecurrie #onething I wish for is peace in the Middle East.  So much misunderstanding, unthinking hate on all sides "
3121,TWUC_Tara,Ewww ewww ewww ewww i am scared for life  i didnt want to know that.. Lol
3122,trytobebetter,"Summertime, but here it's raining cats and dogs  I'm freezing so much, that I can't bead!  (((("
3123,marissa519,HAS to be productive today. laundry and closet cleaning...fun fun 
3124,Tainomangu,@nataly1701  I want to be there!!!!!!
3125,RavenLaR,@SelectedTweets I can't see your photo 
3126,twithippie,bored once more 
3127,alwinac,My Tonsillitis keep me stay in Bed for 3 days 
3128,WishingOnAStarX,@jlaubaugh The swine flu is still on the go! My younger brothers nursary has been closed as some of the kids have caught it  xx
3129,Chayra,"@Nilamelodi did you going to lombok??? oohh myyy, u didn't tell me!! i just got your &quot;sorry message&quot; but i didn't understand it "
3130,mrPilat,@mandz3443 oh god! Don't even talk about drinking. I'm hurting after last nite....ouch 
3131,mezzofortissimo,@snape .... I don't have y!m  HANG ON LET ME FIX THAT JUST FOR YOU
3132,Alixdaniela,@ohoneo  you should come :p
3133,Moonchild67,"Washing dishes or twittering, I know which I'd rather do, but sadly also know which I have to do!  Back soon..."
3134,radrcks,"all this thunder outside makes me want to get a sword and scream 'thunder, thunder, thundercats ho!' but people would look at me funny "
3135,amberfallwell,getting ready for LAYLAS GRADUATION....praying to get better now so I can enjoy it.... missed training this morning. 
3136,dragontart,Aaarghhhh... wish the Britney f**ked vids would f**k off!!!  BLOCK... Grrr hate it 
3137,roserbelle,Sad it's over 
3138,Angussss,sad my brother die  life is just to short wen u realize it 
3139,alexacallanta,"@jimipetrucci I gind that sweet, sexy, scary and fierce all at the same time. :&gt; good for you. I don't even have a boy.  ))"
3140,luduhkris,day not goin' too well so far ... broke a nail again  ... dis time real bad ... i'm talkin' blood ppl!!! ... fml ...
3141,Ciara_SMM,Is Sims 3 really that much better?  Once it seems like I collect almost all of the last one a new one comes out 
3142,tasha_peach,just joined and quite bored at d mo 
3143,jenni_w,Oh no! That suckssssss!! 
3144,lamhine,@BcarcamoS hahaha omg the crab... what are u doing for summer?! miss u too bro 
3145,elliemorrisx,Im well bored got bak from me broz bday party 8 screming 8 year old boys whoopee 
3146,FadvillA,wow..I'm rather far from home..  gas tanks almost empty..what if I don't make it home?! x_kristie
3147,sheridesfixed,"@chcuk ya, 2 hours of being drilled and practice haha I hope the guys get there on time to watch me race  wouldn't it be something if I..."
3148,Jlorraine83,boooo I forgot I have to clean my crib first.. I need a maid  ..
3149,brndnznlcr,Ugh @ cosmo crying fuck this 
3150,lejunkdrawer,"@StewartWade yeah, I missed a lot, huh? "
3151,missread,"@laragreenway ah, that's what I used to use, it's trial only now "
3152,brittanyyyk,no to work today. i need coffee 
3153,lauren_hearts08,am so bumed i cant find meg on twitter 
3154,Camisadoes,pfffftt I really hate being ill! was supposed to go to Tanya's birthday bash tonight  bummer.
3155,YapErni,"@laurabear09 sorry, a client texted me &amp; i had to leave a bit. Saw ur msg via email. Couldn't get direct msg on mobile  Philippines."
3156,IrishMcflyFan,"no idea what to revise for physics, and what not to "
3157,Ohhshitbecca,I need some @lazyblazy in my life. It's been tooooo long again 
3158,SalaInteriors,I thought it was suppose to be sunny today 
3159,crvenk,@SpyMistress You can reach any level but you haven't answered my question. 
3160,Glittergirrll,Stuck at the farmer's market with a flat tire. 
3161,edovia,@Zyote Oh and BOOO to Moscone Center for having skate-stoppers on the curb. 
3162,sylviet,@madge707 I know. I think they've won  at least for me. gotta get ready for BFD soon so time is running out for me! nooo
3163,BigMamaRhonda,Rough night. Definitely have a teether in our hands. Poor lil man is miserable... 
3164,iThinkImHungry,@gaymendoza YEAAH! its so niiice  I LOVE HIM :&gt;
3165,Ajpellicci,It would rain the first day the pool opens 
3166,titch88,Doing a nuring research essay is turning out to be very boring. Only started it today! Gonna be a long week 
3167,mokinbird01,Going to do some yardwork today. 
3168,Claudia_Writes,"@cm_sher I wish I could track down a English audio version for MiD!!  Savage Night is pretty heavy &amp; dark, but has some really hot scenes."
3169,Samm_xo,I cant see any videos or pictures 
3170,filmfaker09,"our contract with AT&amp;T doesn't end until September3!  The moment it does, its a new Blackberry Storm for me! (SCREW YOU AT&amp;T!)"
3171,MissCindyBabyyy,so much for the pool! It's dark as night outside 
3172,Sunshiiine,first order of business. work. 
3173,webwoke,F**K! drop by 1  97. zimbio.com
3174,webwoke,F**K! drop by 1  98. mybloglog.com
3175,girlyinpink,going go karting. then lunch. possibly bowling. it's 67 but feels as if it's like 50000 degrees. 
3176,Billythekid94,@SeelenaGoomez please it's so hard to be alone 24h 
3177,shinishyKahooto,super sick at home  
3178,Jasiurl,hehe my pizza is huuuuge  gonna be so good ^__^ wish i had the munchies right now 
3179,KrisKrosss,UGH ihave to go publix noe! 
3180,mrjet,"Air Conditioner Clutch, some associated dryer, and engine mounts - $1200 at least to fix the car "
3181,ncblanchard,Let's hope I'm not witnessing sporting disaster! (I typed this at Lord's last night but couldn't send as no signal)  http://yfrog.com/ ...
3182,elizabethpandza,"Woke up with my killing  Oh well, I finally got my shoes for prom that took about 2 months to find!"
3183,DionysusBlack,What a rainy fricking day 
3184,Dutchrudder,"@HellenBach not long 2 go now,,, I'm just really missing my baby girl 2day  gonna get home &amp; give her a big kiss "
3185,BorisJcp,STILL DON'T HAVE A HAT!!! 
3186,Neeenaa,"my mother bought a &quot;chloe bag&quot; I hate to say it, but I reallly want it. "
3187,tanntan,@beyinbe hmm but I have to go to sleep 
3188,stolemyusername,"awful. Must go now. Family trip, I DIEEEEEE "
3189,kellygirl27,@apostlethatroks Oh no!!!!  Hope they can tell you why! So sorry!
3190,jetty2yo,@ShaunSmith11 can't even go to see ya can't get tickets left it too late  
3191,ZipperRocks,I don't want to get up yet. But it's 11. 
3192,MissNightLife,@bullett  just got it! Weird huh? Woke up sad though  LOL
3193,emmaa_wright,eeeeeeeewwww! all i can taste in my mouth is hospital; i'm almost puking! 
3194,Houxdomm,"2 pairs of pants, 3 tops, 4 pairs of socks and a blanket better keep me warm "
3195,Chrissyisms,"@trent_reznor Trent, Im upset....is it TRUE that there will be no more NIN after this tour??   "
3196,Jazmin1611,I can't believe how much I need you! This is crazy 
3197,ArteTaina,"@theseawithin it's more swollen than yesterday.  Can't even wear comfy flats.  I will be ok, though."
3198,LResler,I wish it was warmer today.  I don't think it's going to hit 50Ã‚Â° today.  It's also starting to rain. 
3199,dancaporello,made waffles today. they came out GOOOOD. the batter made about 10. ate some 4 bfast. brought some 4 lunch. 4got the syrup 
3200,emajik,I spoke too soon about breakfast. It is now trying to kill me  Plumbing FAIL.
3201,Quendy,I'm just sad right now 
3202,MAAycock,@StewartKris I'm sorry you got hacked 
3203,Linds_Mills,ah huge headache 
3204,Mrs_PJs,"@JemPolitico Not as many sales in H-West this year, I noticed. "
3205,cici2cute,yall i fell so sick today 
3206,poeticmagique,Happy Saturtday!  shld b in Philly to c @questlove but no go 4 me! 
3207,UrLuckyStar,looks likes like its gonna rain 
3208,spaulds1,@DavidKyle Sorry u have to work!  Have same free tasting every Saturday. CU Tuesday? Wednesday?
3209,Psalmy,...gonna read this weekend...and...the bird didn't survive...  
3210,xBellaBaby,Oooh! Sorry for not updating latley  I've been busy with school and stuff
3211,nkotbgadget,"@navy83girl I know, weird huh?  What sucks is I cannot afford to donate again to try and get it again. Oh, well.  It's for a good cause."
3212,Darshea15,I want sum company.  
3213,Beckie_8187,is feeling pretty fed up 
3214,bruninha_gbs,@ian_watkins say hi to me please!! 
3215,RawrGoJess,@AmazingPhil I know u didnt get onto BB  but are you seriously gonna be on the weakest link??
3216,Mr_McFox,Waiting to leave work and missing my lady 
3217,WeTheScoot,So stressed. Chicago yet?? 
3218,rainbow2018,Morning...just coming for a little while  I got laundry to do.....
3219,stephrosevear,"@_hmj_ I wasn't watching  oh Safina. i've lost your number btw, text me?"
3220,nadine1292,"@retsam_16 aya,,i still can't find the video.  sna bukas meron na. goodnight!"
3221,lavsmohan,"@absolutiyer tweeting law-mely or studying. im sorry, but i kinda have to pick the law-tter right now. "
3222,rachh1994,http://www.last.fm/user/rachh1994 add me as a friend i only have 4.. such a shame 
3223,hemmyxwentz,sorry about the crazy myspace issues lately. im a bad dog 
3224,KingQuagmire,@Gamer_Grub Just wanted to let you guys know I tried it at #E3. Good stuff. Just wish I had a retailer closer to my side of town. 
3225,HELLOkaraaa,My eye is swollen. 
3226,Joyful12b,Busy day.... road trip for wedding... missing graduation &amp; cook out ..  .... hope the GP AirHogs sweep the Pelicans..... GO Hogs GO!!!
3227,Cleodora,"For the record going 2 bed early doesn't help, u just toss &amp; turn until your normal bed time  but in good news, my cats r coming today!!"
3228,ale_goodgirl,"watching the live chat on june,4 q me lo perdi! "
3229,djmarkjunior,@mjcole how was rain? did make it too bad 
3230,sleevewornheart,@rude_not_ginger I'm sorry to hear that.  
3231,JimCim,Damn! Rate limit exceeded in TweetDeck 
3232,isleofmandan,"Saw my first ever broken into car on the island today.    Reported to police who tell me it's been like that 4 days, and owner is aware."
3233,BrothaBrooks,"first post. So yesterday a guy found it necessary to break into my house while i was there. Unfortunate for him, but he got away "
3234,Mattsahib,I feel like I am in India again. Midnight and the power just went off. Really hot. No battery to run the fan like in India. 
3235,findingfestive,@rachelllllll i want an iPhone!!!! all i have is an iPod Nano   but that cover looks so cool!
3236,mooklepticon,"@lonestar56 Man, I should do that, too, but there are video games to play. I've not run in a month. "
3237,jillglavan,@AmandaJagdeo   Wish you hadn't!
3238,TheLustyEnigma,@bojesha Lol I'm only sorry that I can't get drunk with you 
3239,katyb_,Just found the first scratch on my phones screen 
3240,stephrosevear,@cameronmaske  oh ok. dude I didn't know you weren't English!!!?
3241,lovestory758,Rascal Flatts are finally coming to Minnesota and I probably can't go  
3242,Renaline,@mcflyharry #USAWantsMcFly #USAWantsMcFly #USAWantsMcFly #USAWantsMcFly #USAWantsMcFly #USAWantsMcFly and sorry about your phone 
3243,StephenFarmer,is devastated. ICT room ruined by blocked drain and subsequent roof leak. Just what we needed 
3244,alyssacee,"@DivineChoice I'm great today. Working  ,  but it's Saturday so it'll go by quickly I think :s"
3245,VivaLaMoo,I'm craving some KenTaco Hut right now 
3246,AvaAddams,kinda wishes I was staing in Florida a little longer 
3247,fishboyt,@TORNADOHUNT I missed it!  I was with my sister picking my dad up from the airport.
3248,ashleynewcomb,"@cariquinn After work, of course... "
3249,LyndseyJR,Really wants to read the next twilight book now! But doesn't have any 
3250,MelissaIce,@rokks so I guess that means we are post poning our pool time! 
3251,SassyAmber,.........I can't see my forehead ... 
3252,KateMillerEvent,"@springcart I love them - but why are they not open on Saturdays? Also, if they're not open, what's up with the site being down? "
3253,never4gottten,Sad my bff is leaving.. 
3254,XFearLessX,"I really really really wish i could see @taylorswift13 today in concert  sucks, why does it have to be sold out??! its my b-day and im sad"
3255,webwoke,F**K! drop by 1  100. thescene.us
3256,webwoke,damn... drop by 1  101. badrss.com
3257,webwoke,"noooo..., drop by 1  102. bukisa.com"
3258,lejunkdrawer,"@Crazy4Crystal baby boy is much better, thx! I was going out of town 4 weekend, but can't now b/c car sux  hope ur day's better than mine!"
3259,steepfrugut,I just sold my car. I feel like a fucking hobo now  
3260,MercuryGirl17,History revision 
3261,stephalicious,"Bored, was sewing but now RSI is troubling me "
3262,suzannahlouise,went shopping to find some prom shoes but didnt find any 
3263,jessielynnnn,studying hardcore.. exams next week 
3264,elklotzy,also: i still hate internet art critics. i guess i'm going to have to splurge and bailout print media with a few good subscriptions 
3265,amyshand5,witnessed a bad car crash this morning&amp;was nearly involved.very frightening  im still shaking...wish ppl would take more care when driving
3266,pauletterx,woke up with a headache.  
3267,bevanpaul,Gardening in the sopping rain =/= fun 
3268,STUDy_Buddy,@Twofine5 thas wussup u shud go..i wish i had sumthin 2 do 2day  guess i mite study..prolly not
3269,xSoCalSDRobx,I don think ive ever had a worse nights rest....Ugh..nightmares...and shivering...and lack of sleeping. 
3270,Lierina,No e-mail from my &quot;packstation&quot; so far. I guess my books won't arrive today 
3271,arianna_skye,@crystaljordan Agree on the guy virgins. Didn't know he was a virgin when we strtd dating. It was awful 
3272,ashleyy117,being bums at the shore with amy and sush...miss school mornings 
3273,lafauxvaisienne,off to see my grandmother...looks like i'll be missing k&amp;k 
3274,LASmithsMom,had a growth spurt and woke up sore 
3275,risinwonderland,"last.fm charging people outside the US, UK for radio "
3276,Crysgutty,Omg no sleepÃ¢Â€Â¦I think I might still b drunk! I'm already runnin around doin stuff  all I want is my BED! But I'm so ready 4 ROUND2 tonight!
3277,srharris19,I'm dying for some toast with peanut butter. Got neither. 
3278,MiniNerd,Doesn't even know anymore :/ blah blah blah 
3279,honorjonasxlove,"@popcorn44 that really sucks  I hate how parents don't get what you love,it's like you need it,then they don't even care =|"
3280,ACGdreamgirl08,@Paramount5ive were you in Gvlle? I woulda invited you to the townhouse to pregame and to the party with us. BUMMERRRRRR... 
3281,smileyxcat,"why is everyone ill?? i'm bored cause they are all in bed, "
3282,rgillespie58,@mranstey hey there. Drivin north. I guess we will miss u tonite?   http://myloc.me/2NIn
3283,RuwayneNell,Been so busy today. Caught between studying for exams and the sims 3!! So hard!!! 
3284,shellmccready,"@unahealyfan no  london, manc, brum and dublin! ahha faill! and idk how much they are"
3285,Dgiese7,"Love waking up after 7am!  aaaahhhhhhh!  Lots of homework, lots of chores! Its so nice outside though! "
3286,kirylyn,"@terpette oh let me know if you find one; I too have the worst problems with them, IF I can even get INTO them, I can't get OUT "
3287,Decemberangel12,Just got a twitter! but i have none of my friends  YET!
3288,SarahCyrus,@LisaHopeCyrus yea  i need 35 in such shoes.
3289,ianeyecan,im nursing an out of commission left foot. im od'n on benadryl. its swollen 
3290,AnnieCushing,That last coupon made me miss my work buddy @lamcdonald. 
3291,xjillianx,@vicxtorixous i cant see the lizrd in the pic  lol
3292,shand0chit0,@TUFDesigns another cloudy day 
3293,fiiionaaa,DAMN !! i don't like exam 
3294,omcd2,@KentUnion Whatsmore I dont have the money to buy it and this is my last year at Kent  I really would like to go...
3295,originalsteven,@darrenhayes I want to see it but my boyfriend hates horrors  It has an 8.1 rating on IMDb and is directed by Sam Raimi of Evil Dead fame.
3296,Dumskull,"I am board, I hate the rain  also hungry don't know what to eat"
3297,nadiaeb,is anxious about something - don't know what  i hate this feeling!
3298,ForeverAshleyJ,Getting out the shower...too bad you didnt join me 
3299,gwau,@KhloeKardashian yup...the weather has been terrible lately.  hurricane season sux!
3300,antshooz,I'm the loser 
3301,Jerome_143,"@ambrosechong Those 2 episodes take place before that  So,he's really dead."
3302,ledavisdang,Woke up NOT feeling good. Feeling very sore. 
3303,splattt_twloha,star wars I &amp; II down. continue with the rest in the morning i do believe. sleep awaits hopefully. bet you my bed is freezing though 
3304,pingpingss,@shawnlimtianjun me too. resorted to watching some world cup qualifier game which was on tv  but there was rooney!
3305,lilmisskirstie,Hangover. 
3306,LoloGee,"@Jason_Manford Nooooooo!!!  Bring back the goggles! Otherwise the pollen will be after your eyes! ;-)  Besides, they cheered me up. "
3307,Robmoccio101,JUST GOT PUNCHED RIGHT IN THE GUT WOW!!!!! 
3308,Arsenic13,"Buying stuff. Zombie Survival Guide, Sneaker (Im 10.5 now??) weight, and other crap. Bye bye money "
3309,andyflisher,We may be off to DFS  http://twitpic.com/6qzh4
3310,chemical_queen,ben listened to To The End for me. he said he would like it if gerard could actually sing right. 
3311,DvOch,dreading maths revision 
3312,dudeitskasia,I stayed up too late last night... 
3313,ryancastle,"@ryancastle Oh, nevermind. You probably just got two free licenses from Microsoft. Won't be able to do that with XP though "
3314,amberbanana,@trishvegas I can't afford it 
3315,trishofthetrade,@goodasianfans It's past my bedtime.  I have to be at the AIDs walk by 6AM tmrw! I'm gonna try for the last show on tour @ Sidewalk.
3316,NaaBiiLa,dentist tomorrow  i hate that :@
3317,zozodj_2,actually cancel that. Its gonna charge a bomb for it 
3318,sowrongitssarah,no all time low concert for me. 
3319,its_plastiik,@iDom0 whts funny my fit ? yu tol me to wear it 
3320,katiemari,Can't lay in bed any longer  must get up and face this day 
3321,artistiquemeg,Just  ....that's all I can say.
3322,xdamman,There is really nothing interesting in cinemas right now... And Belgium is the only country with no free pojection of #home 
3323,Animagladius,Babysitting at my sisters house. Won't be able to update till tomorrow. 
3324,Fefaspage,i wanna go to the Mcfly concert 
3325,gregavola,@cdoublev yeah - this time for good  hardware test showed a faulty processor - sad day
3326,inapie,"im trying to figure out the way i feel :-s im sick and tired of how he is to me, but he's all i want "
3327,iamthesinger,is layin back chillin chillin trying to fully recover from this bad cold.... 
3328,cillaablack,Crumbs in the bed 
3329,audreythebaby,Having colds colds  AH1N1?!?? NOT. I will drink orange juice instead 
3330,fafafab,someone is me 
3331,candibug,"I know MySpace has a bad rep, but Facebook just CRASHED FIREFOX. It is irritating me to no end. I just want to upload pictures. "
3332,joeunfiltered,@gweNDlamb u also need to stop being mean to ur fiance 
3333,angeliquejane,for once i dont wanna go to work... 
3334,nicollea_,@tommcfly  I think Fletcher cute  is better than ARAÃƒÂšJO that is my last name 
3335,shanisfearless,@jenisfearless  hahaha go on msn and talk to meee godd ! havent talkin or seen ya in like foreverr ! 
3336,emotionalpedant,"@CassieFX I've basically given up now, but it's still hard to watch "
3337,rosspanopio,how unfair.  boo boo boo boo boo boo
3338,webwoke,aughh... drop by 1  105. ardhindie.com
3339,jeremii,@xjmiex I used to have my name spelled wrongly in my yearbook. Cheong became Chong @ Cheng. Always missing an alphabet. 
3340,Hungry4Moore,is taking a break from shoveling mulch. I have a very hilly backyard so this is quite a workout. WOOOOOOOOOOO  
3341,Nieves_Herrero,"itÃ‚Â´s raining  I wanted to try out on the terrace, this moment I remember a songwhat song?"
3342,CeeCee922,A lot dissapointed that Jay isnt releasing BP3 on Def Jam....  
3343,lalikesmusic,miserable with allergies 
3344,LTinJAX,@chevc7 from @jaxsondog But MiMi... I like to snuggle on soft things 
3345,kellygirl27,Ok I just looked at JCC and it doesn't show me as being online...so why cant I get in? 
3346,yummygirldesign,http://twitpic.com/6qzkw - Man good friends are hard to come by...Long distance best friends  ...Almost A year since that pic.
3347,anitagt,@wichogg jajajajaja!.... no pic-chur for tudei!  ...fraidais and saturdais ai dont oploud pic-churs cos not meni pipol coment on dem! 
3348,kotzold,"Actually everything is set up for BBQ, but it is raining all the time. "
3349,rogue_scholar,is ironing . . .  . . . on this beautiful day . . . 
3350,R3INA,@UltramagneticAL yeah i know...its cool outside..all this whack weather got me sick  cant wait 2 c you! Eek!
3351,kenningtonkitty,dug up worms for worm world. One chopped in half 
3352,Chrisisbusy,@TrashPixels Thx. YouÃ‚Â´re the only one who noticed it  
3353,danger_skies,@Saaamm That's not good  I wish I could somehow help over twitter...
3354,morrj608,Off to a 50th Wedding anniversary. Best behaviour is required 
3355,cube166,I DO NOT LIKE MY COMPUTER ANY MORE 
3356,neonskulls,Is really wanting to hear the new MP record. 
3357,JustVintage,Gas prices and not finding much to sell killed me last month. May tanked.  But June is busting out all over!
3358,brynnstew09,sun burnt  but its summer woohoo!!
3359,XPB,I hate playing Blockles/OMGPop with people who are really good and have tons of clears. Where's Jared or Damon? I'm better against them. 
3360,mandasue8706,@Mazdaman0687 u went in at 7am ...were u an hour early!? That wouldn't be cool 
3361,Bastisnuts,I had an internet-less day... THIS SUCKS ROYAL 
3362,Mz_Drama,With a trainee today so no twitter for me 
3363,maia8,Camden Rocks without me   ..listening to the rhythm factory sessions instead.
3364,The_Kingfisher,no dinner for me...2 nights in a row...FFS 
3365,PaulaMacKay,"@SteffC It was good fun, whole crowds came out to watch. Sadly it's getting smaller every year, such a shame "
3366,jamiemcflyx,"@VickyMinor I was gonna enter that competition, but hardly anyone in my year likes them "
3367,MrRockNRoll,@a_simple_girl I was makin you a killer grilled cheeze.....had to eat it.....alone...... 
3368,lorddeath,@sebskuse  My desktop keeps running out of memory with 3GB in it. How the hell did apps get this bloated? =/ And where's the pagefile?!
3369,kramlich,At sprint store for pre...apparently no pre for $50 sero plan holders 
3370,GuvnaB,ÃƒÂ€t a service station getting a coke red bull! I dnt wana drive to gigs no more 
3371,domibeyer,"I might have the swine flu, so I'm just going to lay in bed all day. I feel terrible. Bye bye Internet (for the day) "
3372,levalley,My massage therapist just called and cancelled today. 
3373,ERK,Price Is Right losing horns! Passenger front tire flat. 
3374,tia_gurl,getting ready to go to a wedding solo 
3375,lordobeer,missin my kids 
3376,nadinexxx,i was in school to day doin me leavin 
3377,exiva,Had to put Dom to sleep...  #fail
3378,kookyuran,I wanna go Lady Gaga's showcase in korea. http://bit.ly/VzMDM  But why club? 
3379,missyhiggy,@AllieMcnally 
3380,hypergal027,"Hanging out in downtown charleston right now. Im trying to find the parking meter by myslef... I love this place, but its too hot "
3381,sntfrmabv85,@aplusk and sitting through it when you've already got yours 
3382,tia_gurl,is getting ready to go to a wedding solo 
3383,claytonlz,"Awesome, woke up with a fever. "
3384,kkkarli,@yukichan1960 I hope they do another AAA. cons in Ã¦Â—Â¥Ã¦ÂœÂ¬ is too expensive 
3385,bawdz,@ShannynB haha...cant believe I missed the last Conan 
3386,JakeJacobsVI,@XemVanAdams @SyraiOcean told me that he had to work tho 
3387,robtyrie,@forshannonski sorry to hear about your Grandmother's passing. You have my sincere condolences Shannon. Rob 
3388,mindyangl,My ears and throat hurt...I think I'll go get some Zycam before it gets worse.    #FB
3389,emboosh,"@shaunarawrr_x it always happens to me..the eardrops usually work, but theyre not this time  my dad says he's bringing me to the doctor."
3390,Ruthiexo09,Is soooo bored and freaken wants to have someone to hug  i needs a hug  xo
3391,butterflysnbees,Spotted a tooth bud on E's (18wks) TOP gum. I don't remember it being this early w/the others. I'm going to miss her toothless smile. 
3392,pranav8494,what the hell is cryptography????? 
3393,drewsolorio,I PWND flippy cup last night. Got PWND at beer pong though 
3394,webwoke,come on... drop by 1  106. wordpress.com
3395,JaseyRae_,"Damn, why have I still not seen the Star Trek movie? "
3396,webwoke,holys**t drop by 1  107. thesulumitsretsambew.com
3397,webwoke,damn... drop by 1  108. indianpad.com
3398,ERK,@khyron65 of course I can!! ;) gotta fix my tire right now 
3399,zendaj,Received the new tiffanys catalog in the mail. I am loving the new items. 
3400,SamBlonde,Wish I could crack my PSP for the SCUMMVM games like #monkeyisland etc &amp; brokensword...have the Pandora Battery&amp; Memory card but confused 
3401,FreakyxChrissy,i wanna smoke but i havent got one cigarette 
3402,Sidney96,@PinkLightning_ I really just wanna punch her in the face but I'm not a girl basher  I'd easily do it to declan tho xD
3403,mohawkid09,"nothing right now, waitin on my other side to come home "
3404,krazymexigrl253,Going 2 the hospital soon.  pretty sacred n don't know that to do with boo
3405,johnnyvidkid,"@blink182 COME TO ARGENTINA , PLEASE "
3406,bizank182,Is missing an awesome wedding today  but wishing Mr. And Mrs. Hill the best! &lt;perhaps&gt;
3407,rasyraminey,Quadratic functions! I don't wanna be alone with the &quot;radical&quot; 
3408,gabbylalinda,@ GCS waiting as usual 
3409,HarryLyme,"small pixel crunch really devastating in natural, low light photography (most of my work). mega-pixel race, is now purely for marketing "
3410,BlueStaz,It's Saturdau Morning and I just woke up with a stomach ache.  Maybe it's from all the food I ate last nite.
3411,LouisaCone,"i lost my tennis matchhhh. bored, somebody come over "
3412,TitiLoKei,"OMG, I had a dream and i wrote a Hot as song it was HOT...i woke up and tried 2write it down But Couldnt remember im sooo pissed! "
3413,TeamCyrus,"http://twitpic.com/6qzqx - Demi Lovato-new cover album, my version but i couldnt change the colour writing  plz comment @ddlovato x"
3414,Sandissonx,can't go back to sleep. Rlly hungry and have a headache. 
3415,SamEatsChildren,Amazing night.Dont want to be home 
3416,John_Boy09,At theatre. Sitting watching rehearsals. Getting butterflies. 
3417,smallsco,just took a chunk outta my cheek with the rraazor  ow ow ow
3418,mikeystatic,Update via cell a success! Now to get ready for work. 
3419,emboosh,@DisGraceMcR GRACE  THE THEORY IS COMPLETELY DIFFERENT 
3420,Gabyisaballer,@cristysanchez lucky  I might go in July  Hope you have fun and that you love it 
3421,crzy4prple,"Ugh..trying ti do some CT work..but yet, I'm having trouble with my dls "
3422,Bre_Domanski,Relaxing in the hotel. Without a phone for the weekend  Apparently sidekicks dont work in the U.P.??? What am I gonna do??
3423,heeyyjemers,Aw this morning isn't the same without a phone call from him  Gooodmorning twwwitums
3424,AAmyHaanson,Practice until 5 ish see ya. 
3425,jcy8888,"Two down, one more to go. T-storms expected tomorrow. Sounds like fun. May need to cut the ride short of 100 mi tho. On my way to office. "
3426,hshawjr,"Host I Can is making me really unhappy, my blog isn't openI haven't posted anything to my blog and I get over capacity when I try to post "
3427,ninnoart,I need to rest a little... allergy is killing me  Need to recover soon... hope it'll pass soon. Take care...
3428,LadyLove88,"But i think he just need somebody to love him and hold him down. I can def do that, but im a lil scared. "
3429,oolivia__,@roxlina me too  what time do u work at? I've been laying in bed for 30mins now and I don't wanna move :'(
3430,ChurchLover,I look like a tomato... No joke... 
3431,sboy2010,Ohnoess Margaret is leavin Siralan   http://tr.im/nDL4 #fb
3432,Sabra118,Hey I am going to Lake Compounce Tommorow and Want the Sims 3 !!!!! 
3433,apapazukamori,"@jungfroid, Yeah.  That's why super was in quotes."
3434,WOAHitsTWILIGHT,@TwilightFan506 Lol. I know  Its a good one though! lol
3435,juliyepthatsme,oh crappp i'm boredddd 
3436,djcable,the adam A7's sound dope! dun know the 700+ price tag  toss up between the yamaha HS80's or the Adam A5's..
